순번,제목,내용,사용자_정보,카페명,작성일,링크
236,노란우산 IRP ISA 예금운용관해서 질문입니다.,연금상품에 관심이많아 2년전부터 irp isa 상품에 max로채워넣어 예금상품으로만 운용중입니다. 노란우산도 달마다 100만원씩 년에 1200씩 넣고있습니다. 제가 고민되는것이 irp isa 를 주식이나 etf상품으로 운용하려고하는데.. 이전에 일반계좌로 운용했을때 그닥 좋은수익률을 기록하지못했고. 제성향상 주식이나 etf 이런거를 꾸준하게 적립식으로 사놓을 성격도못되고.. 걱정이많은성격이라 리벨런싱이나...,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.01.11.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/241070?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjQxMDcwLCJpc3N1ZWRBdCI6MTc1MDcyODI1NTE5OH0.K8W9emRSptC6Lt-_BZ0l460M_akbVtdiYG4FtQHycyM
237,"IRP, 연금저축, ISA 구분이 어려워요","교보저축보험 → 미래에셋 개인IRP (2024년 이전) 2. 미래에셋 ISA 3. 기업은행 개인 IRP 4. 하나은행 개인 IRP 전 위의 4가지 종류를 보유하고 있습니다. 연금저축 + IRP 의 연 한도 18,000,000원은 3곳 금융기관(미래에셋IRP, 기업은행, 하나은행) 으로 분류되었습니다. 그동안 신경쓰지않고 납부하고 있었는데 정확하게 이해하고 싶어서 문의드립니다. 질의사항 : 아래의 내용이 맞을까요? 미래에셋...","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2024.11.07.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/225251?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjI1MjUxLCJpc3N1ZWRBdCI6MTc1MDcyODI1NTE5OH0.hI_6sScRszapeQjDrs08ulC6kF6Q7E4fIEDphtCkdEw
238,2025년 연저펀+IRP 900 목표달성을 위해....,"어려운 한해가 될거라 걱정은 됩니다만, 어느 유튜브 영상을 보니, 그 유튜버는 신용대출을 받아서 연저펀, IRP에 연초에 600+300 연말정산용으로 먼저 넣어버린다고 합니다. 그리 하면 신용대출 이자를 지불해야 하지만, 대출이 있다 보니 절약도 하게 되고 또 연말정산도 최대로 받을 수 있다고요. 좋은 생각, 마인드 같긴 합니다. 작년에는 미국직투 종목들 팔아서 연저펀/에 옮기면서 빨리 900 목표 달성...","한국/미국주식 : 장기투자를 지향하는 대표 주식카페
2025.01.10.",카페명 없음,날짜 없음,https://cafe.naver.com/pointns/499298?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBvaW50bnMiLCJhcnRpY2xlSWQiOjQ5OTI5OCwiaXNzdWVkQXQiOjE3NTA3MjgyNTUxOTh9.SOgDWX5q7aoE28nZnd2_sT6uvYBlCHC-4YkZ2JwEVSo
239,ISA + 개인연금 + IRP = 연말에 해야할 일,"1)ISA 2)개인연금 3)IRP 4)소수점투자 5)미성년자녀계좌 올해 ISA + 연금 + IRP에서 올해 수익 및 배당입니다. 연간수익: 84,863,894원 연간배당: 34,207,453원(수익포함) 과세대상금융소득: 1,414원 예상환급금: 1,188,000(연금 792,000, 396,000) 납입세금: 0원 삼성전자를 필두로 한국 IT 섹터가 상당히 어렵지만 모두가 무시했던 벨류업 덕택으로 배당섹터는 상당히 선전하고 있습니다. 주가가 내리는 건...","한국/미국주식 : 장기투자를 지향하는 대표 주식카페
2024.10.26.",카페명 없음,날짜 없음,https://cafe.naver.com/pointns/490390?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBvaW50bnMiLCJhcnRpY2xlSWQiOjQ5MDM5MCwiaXNzdWVkQXQiOjE3NTA3MjgyNTUxOTh9.N9BasF2Of71sfB_V2D9dzYRXpHKYDm13Emqhl6nhxVo
240,개인IRP 포트폴리오 봐주세요!!,"개인IRP에서 아래 포트폴리오로 운영을 해볼 예정입니다. 안전자산 40%, 위험자산 60% 각 나라 대표 지수나 산업에 투자하는 포트폴리오로 구성했습니다. 미국 비중을 늘려야 할지 TDF2050 비중을 줄여야 할지 고민됩니다. 채권도 가져가는게 좋을까요? 상품 특징 자산군분류 마켓 국가 비율 SOL 미국테크TOP10 미국 빅테크 주식 선진국 미국 10 PLUS 고배당주 한국 고배당 이머징 한국 10...","한국/미국주식 : 장기투자를 지향하는 대표 주식카페
2025.05.09.",카페명 없음,날짜 없음,https://cafe.naver.com/pointns/516229?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBvaW50bnMiLCJhcnRpY2xlSWQiOjUxNjIyOSwiaXNzdWVkQXQiOjE3NTA3MjgyNTUxOTl9.FNDQd3tsl-4qe-RRoTz_Ze2hP6ohxFmRD_kF0PJ77zw
241,"연금저축과 irp, 금융소득종합과세와 건강 보험료","현재 연금저축 월50만 kodex 미국s&p500tr irp 월70만 kodex 미국s&p500tr, 월25만 미국테크탑채권혼합 isa 월90만 tiger미국테크top10 indxx 공제회 월90만 납입 중입니다. 앞으로 16년 납입 예정이고 은퇴후 소액의 연금과 함께 연간4%를 매도하여 원금을 보전하며 생활비와 병원비로 쓰려고 합니다. 금액이 크지 않다보니 목돈을 만들어야겠다는 생각에 에 100만원을 납입하다가 갑자기 뭔가 잘못된게...","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.01.04.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/239395?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjM5Mzk1LCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.FJ5HzZatj01KLz4OP8bnZJzUPdvfUxXzF25qsHN2tuQ
242,"Irp 퇴직연금 dc형, 연저계좌,일반계좌 다들 어떻게 운용하세요??",그런데 현재 직장에서 Dc형 퇴직금 irp로 2천정도 있는데 어떻게 비율을 해야될지 모르겟습니다… 안전자산 30%는 유지해야된다고 하더라구요 rise s&p500 매수하는데 많이 떨어졋네요.. 히이거... 일반계좌는 무조건 schd로 살 예정입니다.. 제 상황에서 irp계좌 종목 비율과 연저계좌 어떤 구성이 좋을지 검색해봐도 dc형은 잘 다루지않는지 정보가 많이 부족하네요 조언해주시면 감사하겠습니다,"배당 투자자 모임
2025.03.14.",카페명 없음,날짜 없음,https://cafe.naver.com/divclub/23004?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRpdmNsdWIiLCJhcnRpY2xlSWQiOjIzMDA0LCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.Nj21Pe5LqiH3u4S8qV5Yz9hSLKHYneT8S6CzsuZIycM
243,IRP와 연금 계좌 최근 2주간 변동 현황,"2주간의 저의 연금 및 IRP 계좌 변동 현황입니다. 3월 7일 금요일 장종료 후 계좌 (지난번 게시글에도 표기) 3월 7일 장종료 후 금일(3월 21일) 장종료 후 계좌 3월 21일 장종료 후 [2주간 변화] MMF 상품 일부 매도 후, Tiger 미국 S&P 500 : 3,287주 -> 3,484주 Tiger 은행고배당플러스 : 4,633주 -> 5,479주 Kodex 2차전지핵심소재 : 2,500주 -> 3,202주 Ace 포스코그룹포커스 : 1,773주 -> 2,534주...","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.03.21.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/259754?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjU5NzU0LCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.VC_4ALVfy2EQTrFD1VbgdtkeRmRQB3T2gARQbZfbhiY
244,"연말정산 연금저축펀드, IRP",안녕하세요 연말정산관련해서 연금저축펀드와 IRP계좌를 개설했는데 두개 합하여 900만원까지 세액공제된다는건 알고있는데 그럼 연금저축에 400 IRP 에 500이렇게 넣어도 세액공제가 해당이될까요?! 찾아보니 연금저축계좌 세액공제 한도가 600이고 IRP와 함께 하면 900까지 된다길래 연금저축에 600 에 300 넣어야하는건지 위의 사례처럼 해외주식에 직접투자 할 수 있는 에 더 많이 넣어도...,"굿밸런스보험 [보험비교]-재테크,실비,암,태아,연금,종신,어린이
2025.03.31.",카페명 없음,날짜 없음,https://cafe.naver.com/emfbemfb/32295?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImVtZmJlbWZiIiwiYXJ0aWNsZUlkIjozMjI5NSwiaXNzdWVkQXQiOjE3NTA3MjgyNjI5MTR9.L2uuRs9dKy7seXJ9KGxCsl0SWAVSQQSUD5kDFcxuSvA
245,연저펀&irp 무조건 해야하나요?,"연저펀, irp 좋다고 해서 계좌만들고 900만원 채워 넣었습니다. 그런데 어느 글에서 보니 급여가 낮은 사람은 할 필요없다는 글을 봤습니다. 연저펀과 irp는 급여도 많고 카드사용액도 높아야 혜택을 받는거라고 하더라구요. 저는 급여가 330만원이고 체크카드 사용중이며 생활비로 한달에 100만원 사용중입니다.","월급쟁이 재테크 연구카페(예금,적금,펀드,보험,CMA,주식,경매)
대표
2025.01.09.",카페명 없음,날짜 없음,https://cafe.naver.com/onepieceholicplus/5303393?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im9uZXBpZWNlaG9saWNwbHVzIiwiYXJ0aWNsZUlkIjo1MzAzMzkzLCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.ZkmNZbuRCpueQ29KvFs4uIGHwQUvG8xdHoU12VWQRas
246,타사 irp 이동 신청중입니다.,"얼마전에 irp 계좌간 상품이나 현금 이동이 가능하다는 뉴스를 보았습니다. 현재 irp 계좌 보유중인 kb증권에서, 현재 저의 주거래 증권사인 삼성증권으로 이동을 신청하였습니다. 증권사가 두 개이니 접속도 여러 번 해야하고 여간 어려운 일이 아니네요. 내일쯤 전화온다는데 결과 나오면 다시 올려보겠습니다. 저는 계좌에 정기예금상품 가지고 있는데, 매도하지 않고 상품자체가 옮겨질지 궁금하네요.","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2024.10.29.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/223345?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjIzMzQ1LCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.YmwKoK3-1CJoG3aUrmgSd_MabUKCM8LWD0S8Wc6sV_w
247,개인형 IRP 연말정산 시 질문이요!,"여기서 세금 및 급여등 모든 조건이 동일하다고 가정을 하고, 개인형 IRP(59. 근로자퇴직급여보장법에 따른 퇴직연금)를 120만원 가입 할 경우 1. 연말정산시 환급 금액이 위와 동일한지 2. 개인형 IRP 120만원 X 16.5 = 198,000이 해당 금액에 + 96,000원 더 한 금액을 받게 되는지 3. 그 외 금액 인지 알려주시면 감사하겠습니다. 해당 부분을 은행과 상담을 하였는데, 위와 같이 말을 하여도 세금 및 소득을 알지...","월급쟁이 재테크 연구카페(예금,적금,펀드,보험,CMA,주식,경매)
대표
2025.03.04.",카페명 없음,날짜 없음,https://cafe.naver.com/onepieceholicplus/5388162?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im9uZXBpZWNlaG9saWNwbHVzIiwiYXJ0aWNsZUlkIjo1Mzg4MTYyLCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.ZilLNgUfuDe2C_WROdrlxK8vsddYOrzz2VgQkPPgE0A
248,irp계좌에 추가입금,"이미 연금을 수령하고 있는 irp계좌에 추가로 입금을 할수 있나요? 있다면 이득이 있을까요? 그리고 지금직장에 퇴사시 추가로 타은행 IRP계좌가 생기는데, 기존 irp계좌로 수령가능할까요? irp 저축에 대해 별로 아는것이 없어서 질문이 많습니다. 이해해 주시기바랍니다","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2024.11.30.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/230435?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjMwNDM1LCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.UadrjM9JSypwMLsbncSoYuOFdRaXe5iw8AS9YzAyfco
249,연금저축펀드 + IRP 연간한도 1800에 IRP를 반드시 넣어야 하나요?,저는 공격적인 투자위주로 해서 IRP는 넣고 싶지 않은데요. 연간한도 1800을 모두 연저펀에 넣고 IRP는 넣지 않아도 해당 연말정산 소득공제 적용가능하지요?? 작년에도 IRP 300 조차도 넣을곳이 없어서 TDF2050에 넣었는데 수익률이 나쁘지는 않았지만 저는 연저펀이 더 투자성향에는 할것이 많아 좋습니다.,"미국 주식이 미래다
2025.01.23.",카페명 없음,날짜 없음,https://cafe.naver.com/likeusstock/1160003?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imxpa2V1c3N0b2NrIiwiYXJ0aWNsZUlkIjoxMTYwMDAzLCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.jHT7x6YsBY0OOVDiXtel67VmTCpsX9duWuy9cKF4pCQ
250,연금계좌랑 IRP계좌 개설했더니 신경쓸게 많네요?,연금투자는 연금계좌 따로 IRP계좌 따로 있어서 얘네는 투자하려니 신경쓰이고 불편하네요 계좌 왔다리 갔다리 계속 가격 수시로 확인해줘야 되고 연금저축이랑 IRP 매수 하실때 어떻게 하시나요? 자동주문 하기는 좀 그렇고... 연금저축은 그나마 좀 편한게 주식이랑 똑같이 100% 본인이 원하는거 사면 되는데 얘는 70%는 위험자산사야하고 30%는 안전자산 사야하고;; 걍 체결해놓고 되든 안되든 신경...,"한국/미국주식 : 장기투자를 지향하는 대표 주식카페
2024.12.30.",카페명 없음,날짜 없음,https://cafe.naver.com/pointns/498136?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBvaW50bnMiLCJhcnRpY2xlSWQiOjQ5ODEzNiwiaXNzdWVkQXQiOjE3NTA3MjgyNjI5MTR9.bjh_e6YvDNQLKBlCJXO_PpwQRCdyZ_0O8uadv2Gj004
251,확정급여 DB형 과세이연신청시 IRP계좌개설이 우선이죠?,퇴직연금 과세이연신청시 퇴사자의 irp계좌개설이 무조건 먼저 돼있어야하는거 맞나요? 그 이후에 퇴직원천징수영수증작성해서 은행제출하는 거 맞나해서요,"경리-회계 직장인들의 쉼터
2025.05.09.",카페명 없음,날짜 없음,https://cafe.naver.com/aclove/618291?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImFjbG92ZSIsImFydGljbGVJZCI6NjE4MjkxLCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.oht5D0YlwejtTaYazQfseCOquHs3TLHtUMVx5BAnoaI
252,"아직도 연금저축펀드, IRP 등 절세계좌에 SCHD계열을 계속 투자하는 이유","큰돈 드는 병원비, 집안 대소사 비용을 위해 현금을 일정부분 보유하는 것도 좋은데 나이들면 돈관리 쉽지 않을 것 같습니다. 3. 55세까지 s&p500이나 나스닥 많이 모아서 55세되면(연금수급시기) 모두 배당주로 몰빵하겠다고 하시는데 10년, 20년 적립하면서 몇십 몇백% 수익난건 한꺼번에 매도 쉽지 않을 겁니다. 그래서 일정부분 연금저축이든 에 슈드 계열을 적립하는게 좋을 것 같습니다.","배당 투자자 모임
2025.05.11.",카페명 없음,날짜 없음,https://cafe.naver.com/divclub/26790?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRpdmNsdWIiLCJhcnRpY2xlSWQiOjI2NzkwLCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.Onz2zqND1psZue4RHKa6H6SbwppWJ1m3xBw-vApA6sA
253,퇴직연금IRP ETF추천과 운영방안관련 조언좀 부탁드리겠습니다.,퇴직연금IRP ETF추천과 운영방안관련 조언좀 부탁드리겠습니다. 취직하면서 직장에서는 db가입했고 따로 개인적으로 퇴직연금IRP 개설했습니다. 계속 잘유지하다가 55세 이후에 연금으로 수령할 생각인데요 운용방법 어떻게 구성해야될지 모르겠습니다. 연말정산 할 때 소득공제도 된다해서 퇴직연금 ETF추천과 운영방안을 잘 구성해야할텐데 자세히 알려주시면 감사하겠습니다,"[머니트렌드] IFA 재무설계/자산관리/재테크/보험리모델링상담
2주 전",카페명 없음,날짜 없음,https://cafe.naver.com/bisml/37754?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImJpc21sIiwiYXJ0aWNsZUlkIjozNzc1NCwiaXNzdWVkQXQiOjE3NTA3MjgyNjI5MTR9.k_LNA6IWZlLSfrDDKN9PZn2MPaGLfgKAg7gf56u6sww
254,irp 소득공제,"소비는 작년하고 비슷했는데, 작년보다 월급이 더 올라서 그런가봐요. 작년에 저랑 같은 연차샘은 30만원을 토해냈었는데, 올해는 irp을 가입해서 꾸준히 넣은 덕분에 올해는 내야할 세금이 0원이라고 해요. 세액공제 혜택으로 irp넣으실 경우 얼마정도 넣으시고 세금혜택을 받으실까요? 저는 연금저축펀드 넣고 있는데 작년에 250만원정도 냈어요.","교육공무직. 교육공무직원. 특수교육 시험 준비 모임 (교준모)
2025.01.22.",카페명 없음,날짜 없음,https://cafe.naver.com/chokingwang/238908?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImNob2tpbmd3YW5nIiwiYXJ0aWNsZUlkIjoyMzg5MDgsImlzc3VlZEF0IjoxNzUwNzI4MjYyOTE0fQ.l1JFOqt2wG8TPsQ70FctNC4CwyQey5fY1s5FslWZZ3I
255,IRP 이전해야할까요,현재 우리은행 irp가입되어 있습니다 금액은 약 8천정도인데 증권사 irp로 이전하면 은행보다 더 다양한 투자를 할수 있다고 꼬시는 사람이 있는데 현 금융지식이 미천해서 이곳에 가입해서 많은 공부를 하려고 합니다 현 시점에서 이전하면 어떤 이익 또는 손해가 있을지 몰라 신중해 지고 있습니다 후년(2026년)부터 연금수령예정입니다 많은 고수님들의 고언 부탁드립니다 읽어주신 모든분들에게 행운과...,"한국/미국주식 : 장기투자를 지향하는 대표 주식카페
2024.11.19.",카페명 없음,날짜 없음,https://cafe.naver.com/pointns/493397?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBvaW50bnMiLCJhcnRpY2xlSWQiOjQ5MzM5NywiaXNzdWVkQXQiOjE3NTA3MjgyNjI5MTR9.ViSrmWNlUuNJwecZHAGF0ydeEjPR6Hb5zT7spZ8pah4
256,"IRP, 저축연금, ISA관련 문의드려요~~",저는 직장인으로 현재 2년째 IRP로만 년900만원 입금하여 세금혜택을 받고 있습니다. IRP로만 넣는거보단 저축연금과 나눠 넣는게 더 좋을까요? 달달이 계좌이체로 IRP입금되면 ETF를 사는데 이게 넘 귀찮네요ㅜ 그래도 현재 이율이 24%라 혹 하고 있습니다. ㅎㅎ 저축연금도 처럼 ETF등을 사야하나요? 아님 넣어두면 이율적용을 받는건가요? 전 자산운용을 안정적으로 하고 싶은데 이럴 경우 어떤식의...,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2024.11.15.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/226998?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjI2OTk4LCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.xTikhfKbvQfaNoIeT74GO-UKZJA8fv7JJ3dhmjm3yTo
257,"저처럼 IRP, ISA 안하시는분 계신가요?","연말정산시즌이 되면 항상 IRP, ISA 등 세금을 아낄수있는 방법에 대해 고민이 됩니다. 회사를 다닌지 7년정도가 되었으니 7년째 이맘때 고민을하고있는데, 저는 돈이 묶이는게 싫고 자유롭게 원하는곳(레버리지 등)에 자산을 투자하고싶어서 IRP, ISA에 가입하고 있지 않습니다. 혹시 저같은분도 계실까요? 아니면 , ISA는 필수일까요? 선배님들의 고견을 듣고싶습니다. (내용추가) 생각해보니 회사에서...","라오어 미국주식 무한매수법 & 밸류리밸런싱
2024.12.26.",카페명 없음,날짜 없음,https://cafe.naver.com/infinitebuying/66835?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImluZmluaXRlYnV5aW5nIiwiYXJ0aWNsZUlkIjo2NjgzNSwiaXNzdWVkQXQiOjE3NTA3MjgyNjI5MTR9.iPzrrC2BjZLjSXvOh2oXM_Jn4f4jw8Q7OYZDife1yNo
258,irp 연금저축 에.대해 궁금합니다!,급여가 많지는 않지만 조금씩 저축을 하고있는데요 중도인출이나 이런거 그냥 상관없이 단순하게 궁금해서.. irp 900만원을 넣는게 유리한가요 아니면 irp300 연금저축 600을 넣는게 유리한가요.. 목적은 어차피 사용안하는 돈 저축+세액공제인데 어떤분은 굳이 연금저축 없이 900 넣어도 된다 아니다 오히려 분산해서 넣어야 좋다 등등 의견들이 있어서... 어떻게 해야 가장 좋은가요ㅠㅠ,"월급쟁이 재테크 연구카페(예금,적금,펀드,보험,CMA,주식,경매)
대표
2025.02.05.",카페명 없음,날짜 없음,https://cafe.naver.com/onepieceholicplus/5343167?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im9uZXBpZWNlaG9saWNwbHVzIiwiYXJ0aWNsZUlkIjo1MzQzMTY3LCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.pIVYBHcjWciPmb_RCs10PIH_m3DPriMPA77J-nl72uY
259,공무원 명퇴금(명퇴수당)만 또는 퇴직수당만 퇴직연금(IRP) 가입 후기,명퇴금+퇴직수당 전액을 퇴직연금 IRP로 가입하고자 하시는분은 신경쓰실것 하나도 없으신 사항입니다 명퇴금만 넣거나 퇴직수당만 넣고자 하시는분만 보시기바랍니다 금액을 애매하게 넣으려하시면 좀 더 많이 피로함을 느낄수 있으실것 같아 딱 명퇴금만 퇴직수당만 구분해서 넣으시면 편하실것 같습니다 전 명퇴금만 넣고자 했습니다 명퇴금이 금액이 더 크고 세금이 더 많다고 하시더라구요....,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.04.30.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/270052?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjcwMDUyLCJpc3N1ZWRBdCI6MTc1MDcyODI2MjkxNH0.ZNXhTi33Ba7aK2luR0llcwf_35kS2UkdpIlk8sa2KG8
